inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,vote2016
Maryland,1964,Female,Heterosexual / straight,No,2-year,Yes,Native American,Homemaker,Broadband,Broadband,Married,Independent,Conservative,Yes,Somewhat important,Seldom,Several times a day,Something else,0,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Donald Trump
Tennessee,1971,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,None,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Ohio,1958,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,None,Broadband,Never married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
California,1946,Female,Heterosexual / straight,No,Post-grad,Yes,Asian,Retired,Broadband,None,Married,Independent,Moderate,No,Somewhat important,Seldom,A few times a month,Protestant,0,Most of the time,"$200,000 - $249,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Hillary Clinton
Kentucky,1972,Female,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,None,Married,Democrat,Liberal,Yes,Somewhat important,A few times a year,Once a day,Protestant,1,Some of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,Hillary Clinton
Arizona,1963,Female,Heterosexual / straight,No,2-year,Yes,White,Part-time,None,None,Married,Democrat,Very conservative,Yes,Somewhat important,Seldom,A few times a month,Protestant,0,Some of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Someone else
Alabama,1970,Male,Heterosexual / straight,No,Some college,Yes,White,Unemployed,Broadband,Broadband,Domestic / civil partnership,Republican,Conservative,Yes,Somewhat important,A few times a year,Once a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Hawaii,1983,Female,Heterosexual / straight,No,No HS,Yes,Mixed,Part-time,Broadband,Broadband,Married,Independent,Moderate,No,Very important,Once a week,Once a day,Hindu,0,Only now and then,Prefer not to say,Rent,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
Ohio,1982,Female,Heterosexual / straight,Yes,Post-grad,Yes,White,Student,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,More than once a week,Several times a day,Nothing in particular,1,Most of the time,"$50,000 - $59,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
North Carolina,1977,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Very important,A few times a year,Several times a day,Protestant,2,Some of the time,"$70,000 - $79,999",Own,Rural area,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1981,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,Broadband,Never married,Democrat,Moderate,No,Somewhat important,Seldom,A few times a week,Something else,2,Most of the time,"$60,000 - $69,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
New York,1992,Male,Gay man,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Tennessee,1970,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,None,Never married,Democrat,Very liberal,No,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Pennsylvania,1969,Male,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,None,Never married,Republican,Conservative,No,Not too important,Seldom,Seldom,Agnostic,0,Most of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Donald Trump
New York,1987,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Somewhat important,Once a week,Several times a day,Protestant,6,Some of the time,"$30,000 - $39,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,Hillary Clinton
Indiana,1960,Male,Heterosexual / straight,No,Some college,Yes,Other,Student,Broadband,Broadband,Never married,Other,Conservative,Yes,Not at all important,Seldom,Several times a day,Protestant,0,Some of the time,Prefer not to say,Rent,Other,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,Donald Trump
Michigan,1965,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Nothing in particular,0,Most of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
Arkansas,1980,Male,Heterosexual / straight,No,Some college,Yes,White,Permanently disabled,Broadband,None,Never married,Republican,Conservative,Yes,Not too important,Seldom,A few times a month,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,Donald Trump
